,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MB 100, POBLACION TOTAL , VIVIENDAS TOTALES ,% POBREZA TOTAL,POBLACION POBREZA TOTAL, % POBREZA EXTREMA , POBLACION POBREZA EXTREMA , % REZAGO EDUCATIVO , POBLACION REZAGO EDUCATIVO , % CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , POBLACION CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , % CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , POBLACION CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , % CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , POBLACION CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , % CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , POBLACION CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , % CARENCIA POR ACCESO A LA ALIMENTACION , POBLACION CARENCIA POR ACCESO A LA ALIMENTACION , % Población con ingreso inferior a la línea de pobreza por ingresos , Población con ingreso inferior a la línea de pobreza por ingresos , % Población con ingreso inferior a la línea de pobreza extrema por ingresos , Población con ingreso inferior a la línea de pobreza extrema por ingresos , GRADO DE REZAGO SOCIAL , %Población de 15 años o más analfabeta , % Población de 6 a 14 años que no asiste a la escuela , % Población de 15 años y más con educación básica incompleta , % Población sin derechohabiencia a servicios de salud , % Viviendas con piso de tierra , % Viviendas que no disponen de excusado o sanitario , % Viviendas que no disponen de agua entubada de la red pública , % Viviendas que no disponen de drenaje , % Viviendas que no disponen de energía eléctrica , % Viviendas que no disponen de lavadora , % Viviendas que no disponen de refrigerador , GRADO DE MARGINACION , % Población de 15 años o más analfabeta  , % Población  de 15 años o más sin educación básica , % Ocupantes en viviendas particulares sin drenaje ni excusado , % Ocupantes en viviendas particulares sin energía eléctrica , % Ocupantes en viviendas particulares sin agua entubada , % Ocupantes en viviendas particulares con piso de tierra , % Viviendas particulares con hacinamiento , % Población en localidades con menos de 5 000 habitantes , % Población ocupada con ingresos menores a 2 salarios mínimos , % VIVIENDAS CON PAREDES DE MATERIALES ENDEBLES , % VIVIENDAS CON TECHOS DE MATERIALES ENDEBLES , FAISMUN 2023 
20295,San Pablo Huixtepec,NO," 10,020 "," 2,681 ", 54.9 ," 4,963 ", 13.91 ," 1,258 ", 20.72 ," 1,874 ", 58.50 ," 5,292 ", 73.61 ," 6,659 ", 19.50 ," 1,764 ", 28.51 ," 2,579 ", 15.84 ," 1,433 ", 57.38 ," 5,191 ", 23.22 ," 2,101 ",Bajo, 6.26 , 5.34 , 36.58 , 45.51 , 11.15 , 1.19 , 1.16 , 8.17 , 1.12 , 28.94 , 14.17 ,Muy bajo, 6.3 , 36.6 , 0.6 , 0.9 , 1.1 , 11.7 , 20.2 , 4.1 , 74.4 , 8.81 , 0.34 ," 12,731,891 "
20296,San Pablo Macuiltianguis,NO, 955 , 306 , 84.7 , 809 , 16.82 , 161 , 31.20 , 298 , 6.85 , 65 , 70.87 , 677 , 10.65 , 102 , 42.93 , 410 , 15.54 , 148 , 88.53 , 846 , 61.65 , 589 ,Bajo, 11.32 , 4.55 , 58.49 , 6.81 , 4.25 , 0.98 , 0.65 , 1.96 , 0.33 , 38.24 , 21.24 ,Medio, 11.3 , 58.5 , 0.2 , 0.3 , 0.3 , 4.4 , 21.6 , 100.0 , 83.6 , 0.33 , 0.98 ," 3,381,993 "
20297,San Pablo Tijaltepec,NO," 2,751 ", 608 , 97.5 ," 2,684 ", 51.96 ," 1,430 ", 26.23 , 722 , 5.25 , 145 , 95.75 ," 2,635 ", 38.08 ," 1,048 ", 97.69 ," 2,688 ", 27.20 , 748 , 97.51 ," 2,684 ", 80.25 ," 2,209 ",Muy alto, 16.97 , 1.76 , 51.63 , 5.31 , 26.15 , 6.09 , 11.51 , 86.68 , 11.68 , 95.39 , 86.51 ,Muy alto, 17.0 , 51.6 , 4.5 , 8.5 , 9.6 , 25.8 , 44.2 , 100.0 , 95.9 , 0.49 , 0.49 ," 10,463,620 "
20298,San Pablo Villa de Mitla,NO," 13,587 "," 3,610 ", 71.2 ," 8,850 ", 21.31 ," 2,651 ", 31.39 ," 3,904 ", 60.68 ," 7,547 ", 84.80 ," 10,546 ", 15.49 ," 1,926 ", 40.38 ," 5,022 ", 17.28 ," 2,150 ", 72.73 ," 9,045 ", 35.86 ," 4,459 ",Medio, 7.76 , 7.67 , 56.45 , 39.85 , 12.35 , 1.39 , 16.65 , 9.75 , 1.19 , 53.35 , 28.39 ,Medio, 7.8 , 56.5 , 1.0 , 1.0 , 17.0 , 12.0 , 31.3 , 28.9 , 86.8 , 3.52 , 0.17 ," 24,092,874 "
20299,San Pablo Yaganiza,NO," 1,125 ", 322 , 82.1 , 924 , 19.78 , 223 , 27.38 , 308 , 14.51 , 163 , 71.17 , 801 , 22.48 , 253 , 48.32 , 544 , 11.33 , 128 , 89.67 ," 1,010 ", 56.58 , 637 ,Medio, 9.26 , 8.50 , 59.81 , 14.31 , 8.39 , 0.93 , 0.31 , 1.55 , 0.31 , 64.29 , 42.24 ,Medio, 9.3 , 59.8 , 0.4 , 0.4 , 0.3 , 7.1 , 31.7 , 100.0 , 96.1 , 0.62 , 0.31 ," 3,185,802 "
20300,San Pedro Amuzgos,NO," 6,632 "," 1,870 ", 85.6 ," 5,679 ", 43.31 ," 2,874 ", 35.40 ," 2,349 ", 25.67 ," 1,703 ", 81.77 ," 5,426 ", 26.01 ," 1,726 ", 77.74 ," 5,158 ", 44.48 ," 2,951 ", 87.22 ," 5,787 ", 59.11 ," 3,922 ",Alto, 17.60 , 6.49 , 57.34 , 25.45 , 13.69 , 3.21 , 6.79 , 38.34 , 3.32 , 84.49 , 34.28 ,Alto, 17.6 , 57.5 , 2.1 , 3.2 , 6.3 , 13.9 , 32.9 , 100.0 , 91.1 , 3.50 , 2.09 ," 20,042,961 "
20301,San Pedro Apóstol,NO," 1,594 ", 454 , 62.0 , 988 , 15.38 , 245 , 26.96 , 430 , 20.01 , 319 , 74.49 ," 1,188 ", 38.19 , 609 , 42.23 , 674 , 20.01 , 319 , 63.31 ," 1,010 ", 26.08 , 416 ,Bajo, 8.99 , 1.86 , 48.06 , 20.64 , 26.21 , 1.32 , 1.76 , 4.85 , 1.76 , 44.05 , 22.47 ,Medio, 9.0 , 48.1 , 0.6 , 1.1 , 1.9 , 29.4 , 26.7 , 100.0 , 86.6 , 10.77 , 0.22 ," 3,045,490 "
20302,San Pedro Atoyac,NO," 4,559 "," 1,118 ", 93.5 ," 4,264 ", 40.05 ," 1,827 ", 37.99 ," 1,733 ", 10.41 , 475 , 64.06 ," 2,922 ", 38.52 ," 1,757 ", 92.62 ," 4,224 ", 26.27 ," 1,198 ", 94.32 ," 4,302 ", 67.71 ," 3,088 ",Alto, 22.89 , 9.27 , 64.00 , 10.57 , 19.59 , 7.60 , 8.94 , 15.38 , 2.86 , 92.49 , 36.94 ,Muy alto, 22.9 , 64.0 , 7.1 , 2.3 , 8.8 , 19.8 , 42.2 , 100.0 , 94.3 , 10.73 , 0.36 ," 13,716,209 "
20303,San Pedro Cajonos,NO," 1,081 ", 360 , 80.0 , 865 , 18.29 , 198 , 25.44 , 275 , 37.09 , 401 , 78.75 , 852 , 30.57 , 331 , 30.85 , 334 , 18.45 , 200 , 81.73 , 884 , 43.53 , 471 ,Medio, 8.40 , 2.91 , 54.94 , 38.21 , 22.78 , 2.78 , 0.28 , 4.17 , -   , 72.22 , 45.56 ,Medio, 8.4 , 54.9 , 1.6 , -   , 0.4 , 21.2 , 30.8 , 100.0 , 96.2 , 1.94 , 0.56 ," 2,737,019 "
20304,San Pedro Coxcaltepec Cántaros,NO, 716 , 231 , 94.9 , 680 , 31.52 , 226 , 25.11 , 180 , 17.45 , 125 , 78.72 , 564 , 29.22 , 209 , 86.67 , 621 , 3.83 , 27 , 95.31 , 682 , 70.63 , 506 ,Alto, 8.57 , 3.39 , 58.85 , 17.32 , 18.61 , 1.73 , 13.85 , 57.58 , 1.30 , 79.65 , 54.98 ,Alto, 8.6 , 58.8 , 1.0 , 0.7 , 12.7 , 22.1 , 30.3 , 100.0 , 96.7 , 5.19 , -   ," 3,989,862 "
20305,San Pedro Comitancillo,NO," 4,333 "," 1,432 ", 32.8 ," 1,422 ", 3.61 , 157 , 13.47 , 584 , 8.24 , 357 , 51.24 ," 2,221 ", 11.23 , 487 , 30.91 ," 1,340 ", 30.42 ," 1,319 ", 36.26 ," 1,572 ", 6.60 , 286 ,Muy bajo, 6.51 , 1.28 , 25.55 , 9.23 , 3.00 , 2.23 , 2.44 , 2.79 , 1.40 , 29.12 , 14.32 ,Bajo, 6.5 , 25.6 , 1.4 , 0.8 , 1.9 , 3.2 , 19.5 , 100.0 , 67.9 , 2.23 , 0.63 ," 4,115,515 "
20306,San Pedro el Alto,NO," 4,654 ", 999 , 92.7 ," 4,318 ", 41.28 ," 1,922 ", 43.99 ," 2,048 ", 14.85 , 691 , 65.88 ," 3,067 ", 44.44 ," 2,069 ", 69.49 ," 3,235 ", 41.80 ," 1,946 ", 94.53 ," 4,401 ", 66.45 ," 3,094 ",Alto, 23.51 , 9.03 , 71.62 , 14.59 , 21.12 , 1.10 , 2.90 , 26.73 , 5.61 , 90.29 , 69.77 ,Muy alto, 23.5 , 71.6 , 0.4 , 5.1 , 2.4 , 20.3 , 54.0 , 100.0 , 93.3 , 19.36 , 0.10 ," 13,727,387 "
20307,San Pedro Huamelula,SI," 9,735 "," 3,092 ", 44.7 ," 4,358 ", 7.30 , 711 , 22.74 ," 2,215 ", 18.31 ," 1,783 ", 66.29 ," 6,457 ", 23.50 ," 2,289 ", 99.96 ," 9,736 ", 28.34 ," 2,760 ", 44.75 ," 4,358 ", 10.89 ," 1,061 ",Alto, 10.75 , 5.48 , 49.37 , 20.53 , 8.54 , 5.69 , 9.77 , 98.06 , 3.59 , 67.27 , 24.71 ,Alto, 10.8 , 49.4 , 5.0 , 2.9 , 9.5 , 8.6 , 30.3 , 100.0 , 80.6 , 0.94 , 1.13 ," 15,869,945 "
20308,San Pedro Huilotepec,NO," 3,307 ", 869 , 68.3 ," 2,260 ", 21.83 , 722 , 22.48 , 744 , 16.20 , 536 , 58.53 ," 1,937 ", 48.94 ," 1,620 ", 62.66 ," 2,074 ", 46.58 ," 1,541 ", 71.91 ," 2,380 ", 27.94 , 925 ,Medio, 9.99 , 4.08 , 45.54 , 16.96 , 19.91 , 5.98 , 3.45 , 4.26 , 2.07 , 48.79 , 26.12 ,Alto, 10.0 , 45.6 , 3.8 , 1.8 , 3.2 , 21.6 , 42.6 , 100.0 , 80.8 , 10.13 , 0.46 ," 6,107,577 "
20309,San Pedro Ixcatlán,NO," 10,368 "," 2,828 ", 88.9 ," 9,221 ", 47.55 ," 4,932 ", 37.63 ," 3,904 ", 13.15 ," 1,364 ", 80.34 ," 8,333 ", 53.69 ," 5,569 ", 93.30 ," 9,678 ", 52.27 ," 5,421 ", 89.52 ," 9,286 ", 56.76 ," 5,888 ",Muy alto, 21.73 , 6.28 , 63.47 , 14.58 , 30.66 , 3.39 , 23.80 , 64.92 , 3.29 , 84.72 , 46.04 ,Muy alto, 21.7 , 63.5 , 2.5 , 2.3 , 23.2 , 30.7 , 48.5 , 100.0 , 91.4 , 14.29 , 0.50 ," 32,592,108 "
20310,San Pedro Ixtlahuaca,NO," 14,552 "," 3,692 ", 54.3 ," 8,901 ", 15.32 ," 2,509 ", 21.52 ," 3,525 ", 52.63 ," 8,620 ", 78.61 ," 12,876 ", 32.03 ," 5,246 ", 67.74 ," 11,096 ", 23.71 ," 3,884 ", 55.49 ," 9,089 ", 22.69 ," 3,716 ",Medio, 5.46 , 5.29 , 40.70 , 39.04 , 18.12 , 1.76 , 47.67 , 22.45 , 7.26 , 53.85 , 26.76 ,Muy alto, 5.5 , 40.8 , 1.1 , 6.7 , 47.8 , 18.3 , 34.8 , 100.0 , 74.4 , 25.34 , 0.11 ," 18,165,540 "
20311,San Pedro Jaltepetongo,SI, 483 , 161 , 96.2 , 465 , 55.06 , 266 , 33.75 , 163 , 2.48 , 12 , 75.16 , 363 , 66.05 , 319 , 95.03 , 459 , 3.93 , 19 , 96.61 , 467 , 78.44 , 379 ,Alto, 26.05 , 9.46 , 58.54 , 2.48 , 49.07 , 2.48 , 13.04 , 1.86 , 0.62 , 55.28 , 45.34 ,Muy alto, 26.1 , 58.5 , 1.7 , 1.0 , 8.7 , 49.7 , 28.0 , 100.0 , 95.9 , 44.72 , -   ," 2,673,072 "
20312,San Pedro Jicayán,SI," 11,279 "," 2,686 ", 85.2 ," 10,876 ", 45.80 ," 5,844 ", 25.39 ," 3,239 ", 43.62 ," 5,565 ", 81.99 ," 10,461 ", 26.48 ," 3,379 ", 92.74 ," 11,832 ", 54.87 ," 7,001 ", 85.64 ," 10,926 ", 58.23 ," 7,429 ",Alto, 19.43 , 4.01 , 53.38 , 25.71 , 16.38 , 5.77 , 44.42 , 11.69 , 2.49 , 94.53 , 43.75 ,Muy alto, 19.5 , 53.5 , 4.7 , 2.0 , 45.1 , 16.8 , 37.1 , 100.0 , 91.3 , 4.59 , 1.82 ," 35,505,482 "
20313,San Pedro Jocotipac,NO, 730 , 269 , 89.4 , 652 , 28.52 , 208 , 36.01 , 263 , 5.54 , 40 , 69.67 , 509 , 22.99 , 168 , 82.55 , 603 , 23.13 , 169 , 91.85 , 671 , 60.90 , 445 ,Alto, 25.29 , 1.30 , 59.80 , 5.62 , 20.07 , -   , 0.74 , 53.90 , 1.86 , 76.21 , 75.46 ,Alto, 25.3 , 59.8 , -   , 2.1 , 0.4 , 19.5 , 23.8 , 100.0 , 97.3 , 2.96 , 0.37 ," 4,388,519 "
20314,San Pedro Juchatengo,NO," 1,755 ", 487 , 74.3 ," 1,305 ", 17.44 , 306 , 31.81 , 559 , 52.48 , 922 , 83.60 ," 1,468 ", 19.75 , 347 , 26.91 , 472 , 8.72 , 153 , 76.69 ," 1,347 ", 37.94 , 666 ,Bajo, 8.67 , 2.97 , 58.75 , 53.16 , 12.11 , 3.08 , 0.21 , 6.37 , 0.82 , 54.83 , 11.29 ,Medio, 8.7 , 58.7 , 1.6 , 0.5 , 0.1 , 11.5 , 21.6 , 100.0 , 87.8 , 5.95 , 0.82 ," 3,281,077 "
20315,San Pedro Mártir,NO," 1,899 ", 490 , 65.3 ," 1,241 ", 22.79 , 433 , 33.10 , 629 , 50.73 , 964 , 82.43 ," 1,566 ", 70.03 ," 1,331 ", 95.04 ," 1,806 ", 27.17 , 516 , 65.38 ," 1,242 ", 24.45 , 464 ,Muy alto, 9.76 , 1.49 , 59.87 , 51.50 , 62.04 , 4.08 , 32.24 , 88.78 , 0.82 , 57.35 , 43.06 ,Muy alto, 9.8 , 59.9 , 3.6 , 0.7 , 31.3 , 59.9 , 32.7 , 100.0 , 91.1 , 30.75 , -   ," 6,423,712 "
20316,San Pedro Mártir Quiechapa,NO, 738 , 217 , 88.6 , 654 , 40.72 , 301 , 20.11 , 148 , 17.72 , 131 , 83.83 , 619 , 25.46 , 188 , 82.14 , 606 , 52.04 , 384 , 89.60 , 661 , 59.25 , 437 ,Medio, 3.83 , 1.90 , 42.09 , 17.48 , 21.66 , 2.76 , -   , 59.45 , 3.23 , 72.81 , 40.55 ,Medio, 3.8 , 42.2 , 1.1 , 1.8 , -   , 20.2 , 33.2 , 100.0 , 94.1 , 1.38 , 0.46 ," 2,578,330 "
20317,San Pedro Mártir Yucuxaco,NO," 1,257 ", 431 , 85.6 ," 1,076 ", 38.53 , 485 , 21.68 , 273 , 56.81 , 715 , 79.77 ," 1,004 ", 21.35 , 269 , 84.93 ," 1,068 ", 23.05 , 290 , 86.24 ," 1,085 ", 52.91 , 666 ,Alto, 4.11 , 5.85 , 50.90 , 56.88 , 16.47 , 2.78 , 22.04 , 69.61 , 4.41 , 61.72 , 51.04 ,Alto, 4.1 , 50.9 , 1.4 , 3.3 , 21.5 , 15.6 , 21.3 , 100.0 , 93.7 , 0.47 , -   ," 4,786,698 "
20318,San Pedro Mixtepec - Dto. 22,NO," 49,780 "," 13,784 ", 52.0 ," 22,131 ", 12.02 ," 5,114 ", 23.19 ," 9,871 ", 49.82 ," 21,206 ", 74.52 ," 31,719 ", 21.26 ," 9,049 ", 30.58 ," 13,017 ", 22.02 ," 9,375 ", 54.91 ," 23,373 ", 20.22 ," 8,606 ",Bajo, 8.14 , 5.70 , 39.43 , 33.59 , 23.89 , 2.09 , 1.60 , 2.74 , 1.73 , 42.92 , 16.71 ,Bajo, 8.2 , 39.5 , 1.5 , 1.7 , 1.6 , 24.8 , 30.2 , 16.2 , 67.3 , 3.47 , 0.47 ," 48,543,263 "
20319,San Pedro Mixtepec - Dto. 26,NO, 972 , 321 , 91.4 , 888 , 28.51 , 277 , 29.14 , 283 , 21.02 , 204 , 69.72 , 678 , 30.39 , 295 , 60.98 , 593 , 16.96 , 165 , 95.46 , 928 , 68.41 , 665 ,Alto, 17.60 , 0.59 , 52.93 , 20.88 , 24.30 , 2.80 , 0.93 , 7.17 , 2.49 , 94.08 , 77.26 ,Alto, 17.6 , 52.9 , 1.7 , 2.1 , 1.2 , 23.5 , 31.2 , 100.0 , 94.4 , 8.41 , -   ," 4,408,135 "
20320,San Pedro Molinos,NO, 706 , 226 , 85.8 , 606 , 29.57 , 209 , 24.21 , 171 , 24.93 , 176 , 68.62 , 484 , 19.05 , 135 , 73.35 , 518 , 20.77 , 147 , 88.29 , 623 , 58.70 , 414 ,Medio, 14.07 , 1.75 , 47.53 , 26.20 , 19.47 , 3.10 , 4.42 , 27.88 , 1.33 , 72.12 , 52.21 ,Medio, 14.1 , 47.5 , 1.8 , 0.6 , 3.0 , 17.0 , 17.7 , 100.0 , 90.1 , -   , 0.44 ," 3,115,504 "
20321,San Pedro Nopala,NO, 751 , 200 , 95.8 , 719 , 48.97 , 368 , 30.28 , 227 , 25.44 , 191 , 84.52 , 635 , 16.29 , 122 , 64.74 , 486 , 55.05 , 413 , 96.81 , 727 , 77.00 , 578 ,Medio, 15.24 , 6.47 , 55.24 , 25.03 , 11.50 , 5.00 , 3.00 , 12.50 , 1.00 , 52.00 , 49.00 ,Alto, 15.2 , 55.2 , 2.1 , 0.5 , 2.9 , 11.1 , 27.0 , 100.0 , 94.2 , 1.50 , -   ," 3,166,814 "
20322,San Pedro Ocopetatillo,NO, 786 , 245 , 95.9 , 754 , 49.99 , 393 , 48.65 , 382 , 9.29 , 73 , 83.48 , 656 , 30.45 , 239 , 77.81 , 612 , 36.00 , 283 , 96.57 , 759 , 75.44 , 593 ,Muy alto, 36.41 , 7.97 , 72.13 , 9.92 , 24.08 , 2.04 , 7.76 , 39.59 , 1.22 , 89.80 , 74.69 ,Muy alto, 36.4 , 72.1 , 1.7 , 0.6 , 5.9 , 23.7 , 40.4 , 100.0 , 99.4 , 7.35 , -   ," 4,251,821 "
20323,San Pedro Ocotepec,SI," 2,404 ", 556 , 92.8 ," 2,231 ", 29.62 , 712 , 31.45 , 756 , 1.05 , 25 , 88.42 ," 2,127 ", 25.85 , 622 , 69.43 ," 1,670 ", 13.73 , 330 , 93.36 ," 2,245 ", 68.33 ," 1,643 ",Alto, 19.38 , 4.76 , 54.71 , 1.04 , 10.97 , 0.72 , 1.62 , 26.08 , 2.52 , 95.14 , 65.65 ,Alto, 19.4 , 54.8 , 0.2 , 1.7 , 1.0 , 8.9 , 42.1 , 100.0 , 90.2 , 5.22 , 0.36 ," 7,811,403 "
20324,San Pedro Pochutla,SI," 48,204 "," 12,662 ", 46.8 ," 24,296 ", 12.21 ," 6,342 ", 27.96 ," 14,526 ", 49.33 ," 25,628 ", 78.16 ," 40,604 ", 24.99 ," 12,982 ", 61.96 ," 32,191 ", 23.86 ," 12,393 ", 47.85 ," 24,859 ", 15.08 ," 7,836 ",Medio, 12.25 , 6.01 , 45.37 , 38.70 , 14.78 , 2.91 , 9.25 , 10.75 , 3.30 , 59.26 , 25.98 ,Alto, 12.3 , 45.4 , 2.4 , 3.1 , 9.8 , 15.9 , 38.5 , 70.8 , 76.2 , 6.17 , 1.52 ," 77,800,995 "
20325,San Pedro Quiatoni,SI," 11,930 "," 3,096 ", 96.1 ," 11,474 ", 50.42 ," 6,018 ", 44.02 ," 5,254 ", 21.35 ," 2,548 ", 87.07 ," 10,393 ", 41.81 ," 4,991 ", 82.44 ," 9,840 ", 24.55 ," 2,930 ", 96.42 ," 11,508 ", 72.09 ," 8,605 ",Alto, 20.63 , 8.79 , 71.52 , 21.53 , 22.90 , 3.49 , 10.82 , 14.60 , 3.94 , 75.39 , 53.71 ,Muy alto, 20.6 , 71.5 , 2.3 , 3.1 , 9.5 , 22.6 , 44.9 , 100.0 , 90.1 , 10.34 , 0.39 ," 50,830,316 "
20326,San Pedro Sochiápam,SI," 5,052 "," 1,208 ", 94.0 ," 4,749 ", 55.97 ," 2,829 ", 37.24 ," 1,882 ", 24.67 ," 1,247 ", 82.77 ," 4,183 ", 28.49 ," 1,440 ", 68.01 ," 3,437 ", 58.56 ," 2,959 ", 96.49 ," 4,877 ", 79.37 ," 4,011 ",Alto, 23.46 , 5.67 , 65.42 , 25.18 , 12.83 , 2.15 , 15.31 , 60.76 , 3.73 , 75.99 , 40.81 ,Alto, 23.5 , 65.4 , 1.2 , 2.8 , 15.3 , 12.8 , 36.8 , 100.0 , 94.8 , 3.73 , 0.25 ," 19,713,655 "
20327,San Pedro Tapanatepec,NO," 15,479 "," 4,479 ", 53.8 ," 8,487 ", 14.18 ," 2,236 ", 36.54 ," 5,765 ", 45.71 ," 7,211 ", 78.27 ," 12,349 ", 18.18 ," 2,869 ", 60.94 ," 9,615 ", 36.55 ," 5,767 ", 55.07 ," 8,688 ", 19.06 ," 3,007 ",Bajo, 14.17 , 8.93 , 52.89 , 30.74 , 7.52 , 4.51 , 9.65 , 4.20 , 1.94 , 38.38 , 21.90 ,Medio, 14.2 , 53.0 , 3.6 , 1.5 , 10.9 , 8.1 , 30.3 , 47.3 , 83.0 , 2.19 , 0.30 ," 24,236,019 "
20328,San Pedro Taviche,NO," 1,441 ", 359 , 95.0 ," 1,369 ", 51.42 , 741 , 36.12 , 521 , 22.23 , 321 , 93.41 ," 1,347 ", 34.92 , 504 , 88.99 ," 1,283 ", 25.81 , 372 , 94.96 ," 1,369 ", 69.35 ," 1,000 ",Alto, 11.57 , 7.81 , 56.50 , 22.21 , 16.43 , 3.06 , 18.38 , 49.86 , 1.39 , 74.65 , 75.49 ,Alto, 11.6 , 56.5 , 1.5 , 1.5 , 18.3 , 17.4 , 54.0 , 100.0 , 95.6 , 8.36 , -   ," 5,893,222 "
20329,San Pedro Teozacoalco,NO," 1,153 ", 347 , 91.6 ," 1,057 ", 44.60 , 515 , 27.59 , 318 , 32.18 , 371 , 81.70 , 943 , 37.75 , 436 , 84.44 , 974 , 43.59 , 503 , 92.20 ," 1,064 ", 61.77 , 713 ,Alto, 11.72 , 4.17 , 53.96 , 32.44 , 27.95 , 2.02 , 4.61 , 45.53 , 3.75 , 63.69 , 49.57 ,Alto, 11.7 , 53.9 , 1.6 , 2.6 , 4.1 , 29.3 , 32.0 , 100.0 , 97.3 , 10.09 , -   ," 5,299,119 "
20330,San Pedro Teutila,NO," 4,296 "," 1,170 ", 93.0 ," 3,999 ", 46.16 ," 1,984 ", 35.52 ," 1,526 ", 12.58 , 541 , 88.05 ," 3,784 ", 20.73 , 891 , 88.69 ," 3,812 ", 50.19 ," 2,157 ", 93.43 ," 4,016 ", 65.51 ," 2,816 ",Alto, 14.37 , 5.88 , 61.83 , 12.71 , 9.57 , 1.79 , 1.28 , 65.73 , 2.91 , 66.75 , 41.71 ,Alto, 14.4 , 61.9 , 1.3 , 3.0 , 0.9 , 9.9 , 36.4 , 100.0 , 93.5 , 1.71 , 0.09 ," 15,059,873 "
20331,San Pedro Tidaá,NO, 982 , 331 , 87.2 , 857 , 33.41 , 328 , 36.48 , 358 , 13.73 , 135 , 72.10 , 708 , 18.88 , 185 , 72.96 , 716 , 38.63 , 379 , 89.65 , 880 , 58.96 , 579 ,Alto, 19.44 , 1.67 , 60.14 , 13.85 , 14.20 , 1.51 , 2.72 , 40.18 , 2.11 , 63.14 , 65.26 ,Alto, 19.4 , 60.1 , 0.5 , 1.9 , 2.2 , 13.9 , 28.7 , 100.0 , 94.8 , 6.67 , 0.61 ," 4,346,347 "
20332,San Pedro Topiltepec,NO, 373 , 131 , 80.3 , 300 , 18.59 , 69 , 28.07 , 105 , 14.17 , 53 , 65.67 , 245 , 13.08 , 49 , 46.05 , 172 , 12.26 , 46 , 86.63 , 323 , 56.91 , 212 ,Bajo, 4.62 , 2.56 , 66.01 , 13.94 , 8.40 , 1.53 , -   , 7.63 , 0.76 , 48.85 , 37.40 ,Medio, 4.6 , 66.0 , 1.3 , 0.5 , -   , 9.9 , 20.6 , 100.0 , 96.0 , 0.78 , -   ," 1,930,511 "
20333,San Pedro Totolápam,NO," 3,294 ", 942 , 46.7 ," 1,540 ", 6.98 , 230 , 25.02 , 825 , 27.57 , 909 , 59.35 ," 1,956 ", 17.81 , 587 , 36.13 ," 1,191 ", 14.72 , 485 , 49.22 ," 1,622 ", 14.97 , 493 ,Bajo, 7.94 , 5.38 , 48.12 , 28.23 , 10.08 , 1.17 , 0.42 , 9.45 , 1.38 , 32.38 , 14.44 ,Bajo, 8.0 , 48.2 , 0.3 , 1.1 , 0.2 , 10.6 , 23.5 , 100.0 , 72.8 , 3.08 , 0.32 ," 4,001,583 "
20334,Villa de Tututepec de Melchor Ocampo,SI," 50,541 "," 14,731 ", 61.7 ," 31,176 ", 14.90 ," 7,535 ", 33.14 ," 16,755 ", 23.30 ," 11,781 ", 82.11 ," 41,518 ", 28.48 ," 14,400 ", 56.70 ," 28,670 ", 35.71 ," 18,057 ", 63.21 ," 31,961 ", 22.44 ," 11,345 ",Medio, 13.01 , 6.83 , 53.11 , 23.76 , 10.04 , 4.85 , 7.70 , 10.85 , 2.18 , 49.40 , 24.97 ,Medio, 13.0 , 53.2 , 3.6 , 1.5 , 7.2 , 9.9 , 32.4 , 59.6 , 84.5 , 3.03 , 0.53 ," 74,282,644 "
20335,San Pedro Yaneri,NO, 867 , 252 , 93.5 , 810 , 31.94 , 277 , 34.65 , 300 , 9.39 , 81 , 87.72 , 761 , 28.85 , 250 , 81.69 , 708 , 3.01 , 26 , 94.03 , 815 , 68.06 , 590 ,Alto, 14.22 , 4.52 , 61.07 , 9.92 , 25.00 , 1.19 , 2.38 , 13.89 , 0.79 , 85.71 , 68.65 ,Alto, 14.2 , 61.1 , 0.2 , 0.2 , 1.3 , 21.6 , 33.7 , 100.0 , 97.6 , 7.17 , -   ," 3,151,711 "
20336,San Pedro Yólox,NO," 1,697 ", 492 , 85.2 ," 1,446 ", 12.03 , 204 , 37.47 , 636 , 5.52 , 94 , 85.55 ," 1,453 ", 10.61 , 180 , 31.24 , 530 , 9.23 , 157 , 85.99 ," 1,460 ", 50.34 , 855 ,Bajo, 20.72 , 1.76 , 66.38 , 5.54 , 7.11 , 0.61 , 0.20 , 9.55 , 0.81 , 19.31 , 5.49 ,Medio, 20.7 , 66.4 , 0.3 , 0.2 , 0.1 , 4.5 , 18.5 , 100.0 , 95.4 , 0.81 , 0.41 ," 7,864,426 "
