,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MB 100, POBLACION TOTAL , VIVIENDAS TOTALES ,% POBREZA TOTAL,POBLACION POBREZA TOTAL, % POBREZA EXTREMA , POBLACION POBREZA EXTREMA , % REZAGO EDUCATIVO , POBLACION REZAGO EDUCATIVO , % CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , POBLACION CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , % CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , POBLACION CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , % CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , POBLACION CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , % CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , POBLACION CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , % CARENCIA POR ACCESO A LA ALIMENTACION , POBLACION CARENCIA POR ACCESO A LA ALIMENTACION , % Población con ingreso inferior a la línea de pobreza por ingresos , Población con ingreso inferior a la línea de pobreza por ingresos , % Población con ingreso inferior a la línea de pobreza extrema por ingresos , Población con ingreso inferior a la línea de pobreza extrema por ingresos , GRADO DE REZAGO SOCIAL , %Población de 15 años o más analfabeta , % Población de 6 a 14 años que no asiste a la escuela , % Población de 15 años y más con educación básica incompleta , % Población sin derechohabiencia a servicios de salud , % Viviendas con piso de tierra , % Viviendas que no disponen de excusado o sanitario , % Viviendas que no disponen de agua entubada de la red pública , % Viviendas que no disponen de drenaje , % Viviendas que no disponen de energía eléctrica , % Viviendas que no disponen de lavadora , % Viviendas que no disponen de refrigerador , GRADO DE MARGINACION , % Población de 15 años o más analfabeta  , % Población  de 15 años o más sin educación básica , % Ocupantes en viviendas particulares sin drenaje ni excusado , % Ocupantes en viviendas particulares sin energía eléctrica , % Ocupantes en viviendas particulares sin agua entubada , % Ocupantes en viviendas particulares con piso de tierra , % Viviendas particulares con hacinamiento , % Población en localidades con menos de 5 000 habitantes , % Población ocupada con ingresos menores a 2 salarios mínimos , % VIVIENDAS CON PAREDES DE MATERIALES ENDEBLES , % VIVIENDAS CON TECHOS DE MATERIALES ENDEBLES , FAISMUN 2023 
20021,Cosolapa,NO," 14,488 "," 4,099 ", 56.9 ," 7,370 ", 15.37 ," 1,991 ", 26.76 ," 3,465 ", 39.42 ," 5,104 ", 66.47 ," 8,608 ", 14.73 ," 1,908 ", 47.21 ," 6,114 ", 24.07 ," 3,116 ", 61.18 ," 7,923 ", 27.08 ," 3,506 ",Bajo, 10.15 , 5.70 , 42.98 , 23.92 , 7.83 , 3.59 , 3.83 , 4.54 , 1.37 , 35.94 , 16.98 ,Medio, 10.2 , 43.0 , 3.0 , 1.1 , 3.9 , 8.0 , 28.6 , 42.5 , 85.5 , 1.09 , 1.04 ," 22,471,193 "
20022,Cosoltepec,NO, 803 , 296 , 75.9 , 609 , 23.55 , 189 , 23.25 , 187 , 23.92 , 192 , 47.18 , 379 , 15.05 , 121 , 63.71 , 512 , 36.29 , 291 , 81.38 , 654 , 51.75 , 416 ,Bajo, 5.41 , 4.00 , 45.31 , 23.04 , 5.07 , 6.08 , 5.41 , 25.34 , 2.70 , 58.11 , 27.70 ,Medio, 5.4 , 45.3 , 6.6 , 2.5 , 6.1 , 5.5 , 17.2 , 100.0 , 95.0 , 1.01 , 0.68 ," 3,246,193 "
20023,Cuilápam de Guerrero,NO," 26,882 "," 6,975 ", 57.4 ," 17,028 ", 20.09 ," 5,958 ", 16.74 ," 4,964 ", 51.77 ," 15,354 ", 69.64 ," 20,657 ", 19.99 ," 5,929 ", 60.75 ," 18,018 ", 19.41 ," 5,757 ", 60.90 ," 18,063 ", 30.24 ," 8,971 ",Medio, 4.31 , 5.28 , 33.11 , 40.37 , 12.07 , 2.80 , 37.46 , 21.62 , 4.93 , 45.82 , 24.85 ,Alto, 4.3 , 33.1 , 2.4 , 4.6 , 38.6 , 12.0 , 24.8 , 41.4 , 71.0 , 13.34 , 0.49 ," 44,523,994 "
20024,Cuyamecalco Villa de Zaragoza,NO," 3,644 "," 1,019 ", 93.7 ," 3,418 ", 46.53 ," 1,697 ", 49.83 ," 1,817 ", 30.20 ," 1,101 ", 80.51 ," 2,935 ", 28.30 ," 1,032 ", 60.57 ," 2,208 ", 30.71 ," 1,120 ", 94.82 ," 3,457 ", 73.24 ," 2,670 ",Alto, 29.79 , 7.10 , 73.73 , 29.88 , 10.89 , 2.65 , 3.14 , 27.38 , 2.45 , 75.96 , 44.85 ,Alto, 29.8 , 73.8 , 2.0 , 2.2 , 3.0 , 10.4 , 38.0 , 100.0 , 95.4 , 9.59 , 0.78 ," 14,269,258 "
20025,Chahuites,NO," 11,356 "," 3,262 ", 63.5 ," 7,008 ", 20.48 ," 2,261 ", 31.89 ," 3,522 ", 53.58 ," 5,916 ", 80.85 ," 8,928 ", 19.57 ," 2,161 ", 64.95 ," 7,172 ", 34.36 ," 3,794 ", 64.43 ," 7,115 ", 25.71 ," 2,839 ",Bajo, 10.92 , 10.29 , 51.14 , 38.38 , 5.24 , 2.61 , 22.99 , 2.05 , 0.74 , 33.72 , 18.06 ,Medio, 10.9 , 51.2 , 1.9 , 0.6 , 23.7 , 5.7 , 30.9 , 2.7 , 80.4 , 1.41 , 0.28 ," 18,295,374 "
20026,Chalcatongo de Hidalgo,NO," 9,035 "," 2,551 ", 82.3 ," 7,443 ", 25.38 ," 2,294 ", 23.05 ," 2,083 ", 24.64 ," 2,227 ", 74.44 ," 6,729 ", 19.58 ," 1,770 ", 67.54 ," 6,105 ", 29.49 ," 2,665 ", 84.48 ," 7,636 ", 47.25 ," 4,271 ",Medio, 11.06 , 2.16 , 45.49 , 27.65 , 17.05 , 2.31 , 10.78 , 41.63 , 1.76 , 54.88 , 59.86 ,Alto, 11.1 , 45.5 , 1.6 , 1.5 , 10.0 , 16.7 , 28.7 , 100.0 , 91.0 , 0.35 , 0.46 ," 20,203,434 "
20027,Chiquihuitlán de Benito Juárez,NO," 2,179 ", 744 , 88.7 ," 1,935 ", 32.20 , 702 , 48.51 ," 1,058 ", 17.83 , 389 , 80.73 ," 1,760 ", 21.36 , 466 , 53.90 ," 1,175 ", 40.58 , 885 , 89.74 ," 1,956 ", 57.23 ," 1,248 ",Alto, 31.93 , 3.34 , 71.29 , 17.90 , 10.75 , 3.09 , 6.99 , 24.73 , 2.69 , 83.74 , 61.56 ,Alto, 32.0 , 71.4 , 1.8 , 2.2 , 6.1 , 10.3 , 29.7 , 100.0 , 95.2 , 7.53 , 0.27 ," 8,670,897 "
20028,Heroica Ciudad de Ejutla de Crespo,NO," 23,148 "," 6,070 ", 66.1 ," 15,356 ", 19.75 ," 4,590 ", 32.53 ," 7,559 ", 57.22 ," 13,297 ", 82.99 ," 19,286 ", 20.45 ," 4,751 ", 55.74 ," 12,954 ", 23.63 ," 5,491 ", 67.00 ," 15,570 ", 29.72 ," 6,907 ",Medio, 13.87 , 6.59 , 57.29 , 45.93 , 23.61 , 3.49 , 9.56 , 19.18 , 1.70 , 48.01 , 26.62 ,Alto, 13.9 , 57.4 , 2.9 , 1.3 , 9.8 , 23.1 , 32.3 , 51.8 , 88.2 , 4.77 , 0.60 ," 34,562,676 "
20029,Eloxochitlán de Flores Magón,NO," 4,215 "," 1,164 ", 91.1 ," 3,843 ", 48.32 ," 2,038 ", 46.27 ," 1,951 ", 12.11 , 511 , 86.10 ," 3,631 ", 49.12 ," 2,071 ", 85.77 ," 3,617 ", 16.96 , 715 , 91.74 ," 3,869 ", 65.90 ," 2,779 ",Muy alto, 33.27 , 10.36 , 69.85 , 13.36 , 18.64 , 1.12 , 7.47 , 59.97 , 3.52 , 92.96 , 78.61 ,Muy alto, 33.3 , 69.8 , 1.2 , 2.7 , 5.7 , 18.5 , 38.9 , 100.0 , 96.4 , 37.34 , 1.72 ," 21,082,256 "
20030,El Espinal,NO," 8,730 "," 2,566 ", 24.4 ," 2,127 ", 2.34 , 204 , 15.23 ," 1,330 ", 18.24 ," 1,593 ", 42.29 ," 3,694 ", 8.47 , 740 , 8.20 , 716 , 15.40 ," 1,345 ", 30.22 ," 2,639 ", 5.69 , 497 ,Muy bajo, 5.36 , 1.87 , 25.98 , 20.14 , 2.07 , 1.52 , 2.49 , 1.36 , 1.33 , 19.95 , 6.98 ,Muy bajo, 5.4 , 26.0 , 0.9 , 0.8 , 1.9 , 1.9 , 20.6 , 6.9 , 46.7 , 1.19 , 0.50 ," 6,874,549 "
